,feature,idf,tfidf,Houses
209,anger,5.409658573,4.062068164,Gryffindor
641,brave,5.088074949,7.476058903,Gryffindor
644,bravery,5.409658573,4.146860528,Gryffindor
750,capable,5.311218501,3.971796834,Gryffindor
761,cared,5.481117537,3.930246277,Gryffindor
1158,courage,5.68591195,3.688634477,Gryffindor
1812,enjoyed,5.311218501,3.519581789,Gryffindor
2256,friendship,5.342967199,3.573684562,Gryffindor
2686,humour,5.641460187,6.218448413,Gryffindor
3070,kind,5.280446842,4.201202099,Gryffindor
3289,loved,5.193435465,3.775846718,Gryffindor
5513,talented,5.558078578,3.927669797,Gryffindor
5557,temper,5.375757022,3.843476437,Gryffindor
308,arrogant,5.832515424,2.865212059,Slytherin
1214,cruel,5.641460187,3.462973087,Slytherin
1229,cunning,5.886582645,2.519931951,Slytherin
1894,evil,5.68591195,3.895681113,Slytherin
2853,influence,6.137897074,2.687792933,Slytherin
3068,killing,5.832515424,3.189710148,Slytherin
3421,meanspirited,6.379059131,3.224169737,Slytherin
3755,obsession,6.004365681,3.531524899,Slytherin
4195,prejudiced,6.47436931,2.608779502,Slytherin
4800,sadistic,5.732431966,4.160968596,Slytherin
5456,supremacist,6.004365681,4.070546158,Slytherin
5512,talent,5.732431966,2.894493817,Slytherin
5704,traitor,5.832515424,3.763023861,Slytherin
6011,violent,6.579729826,2.56911221,Slytherin
88,admired,6.379059131,1.117454853,Hufflepuff
124,affectionate,7.167516491,1.010166443,Hufflepuff
768,caring,6.068904202,1.143857291,Hufflepuff
846,cheerful,6.579729826,2.230808146,Hufflepuff
1688,eager,6.004365681,1.385314309,Hufflepuff
1710,eccentric,6.379059131,1.658270659,Hufflepuff
2006,fair,6.292047754,1.583820311,Hufflepuff
2254,friendly,6.004365681,1.565784591,Hufflepuff
2513,hardworking,6.831044254,1.278637951,Hufflepuff
2577,herbology,6.697512862,1.780719523,Hufflepuff
3074,kindness,6.379059131,1.193541223,Hufflepuff
3366,manner,6.212005046,1.23838896,Hufflepuff
4120,popularity,6.697512862,1.145379119,Hufflepuff
4509,regarded,6.47436931,1.133937977,Hufflepuff
4645,respected,6.068904202,1.584286301,Hufflepuff
5817,uncomfortable,6.697512862,1.165959238,Hufflepuff
366,attention,5.943741059,1.243269688,Ravenclaw
607,book,5.558078578,3.143096739,Ravenclaw
834,charm,5.598900573,1.906088959,Ravenclaw
882,class,5.280446842,1.325294435,Ravenclaw
2930,intelligence,5.943741059,1.360896349,Ravenclaw
2931,intelligent,5.342967199,1.22857369,Ravenclaw
3214,liked,5.641460187,1.517165212,Ravenclaw
3342,making,5.518857865,1.5574604,Ravenclaw
3435,memory,5.280446842,2.320951045,Ravenclaw
4773,rule,5.598900573,1.917746918,Ravenclaw
5237,spell,5.732431966,2.19844672,Ravenclaw
5538,teacher,5.221606342,2.063544709,Ravenclaw
6182,work,5.598900573,1.217192084,Ravenclaw
,reserved,,,Slytherin
,innovative,,,Slytherin
,serious,,,Slytherin
,private,,,Slytherin
,creatively,,,Slytherin
,independently,,,Slytherin
,mean,,,Slytherin
,power-hungry,,,Slytherin
,bully,,,Slytherin
,sensitive,,,Ravenclaw
,creative,,,Ravenclaw
,sincere,,,Ravenclaw
,artistic,,,Ravenclaw
,adaptable,,,Gryffindor
,spontaneous,,,Gryffindor
,easy-going,,,Gryffindor
,outgoing,,,Gryffindor
,altruistic,,,Gryffindor
,values learning,,,Ravenclaw
,wisdom,,,Ravenclaw
,wit,,,Ravenclaw
,logical,,,Ravenclaw
,rational,,,Ravenclaw
,backstabbing,,,Ravenclaw
,patience,,,Hufflepuff
,loyalty,,,Hufflepuff
,fairness,,,Hufflepuff
,reliable,,,Hufflepuff
,honest,,,Hufflepuff
,zoophilist,,,Hufflepuff
,peace,,,Hufflepuff
,self-righteous,,,Gryffindor
,recklessness,,,Gryffindor
,confrontation,,,Gryffindor
,daring,,,Gryffindor
,nerve,,,Gryffindor